time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-28T13:08:58.785Z,54.5443,-163.2963,9.3,2,ml,,,,0.65,ak,ak021gmwc3w6,2022-01-24T16:20:02.544Z,"35 km SSE of False Pass, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-12-28T12:56:40.314Z,51.6462,-174.2867,35,2.9,ml,,263,0.559,0.61,us,us7000gelc,2022-03-05T23:11:15.040Z,"61 km S of Atka, Alaska",earthquake,5.2,2,0.128,8,reviewed,us,us
2021-12-28T12:53:17.248Z,60.5643,-142.7251,9.9,2.4,ml,,,,0.85,ak,ak021gmw089j,2022-03-05T23:10:48.040Z,"97 km S of McCarthy, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2021-12-28T11:59:56.940Z,59.7882,-152.5624,81.8,2,ml,,,,0.51,ak,ak021gmvg610,2022-01-24T16:19:43.824Z,"41 km W of Anchor Point, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-12-28T11:16:19.650Z,54.0689,-162.8563,27.1,2.2,ml,,,,0.64,ak,ak021gmv6ve5,2022-01-24T16:20:01.548Z,"94 km SSE of False Pass, Alaska",earthquake,,10.4,,,reviewed,ak,ak
2021-12-28T09:57:58.403Z,59.2453,-152.1337,60.3,3.4,ml,,,,0.93,ak,ak021gmu8vh9,2022-03-05T23:10:47.040Z,"17 km SW of Nanwalek, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2021-12-28T08:18:07.395Z,54.5728,168.3834,10,4.2,mb,,125,3.869,1.02,us,us6000gftv,2022-03-05T23:10:47.040Z,"Komandorskiye Ostrova, Russia region",earthquake,9.9,1.9,0.073,52,reviewed,us,us
2021-12-28T08:01:37.573Z,59.8768,-153.4529,130.8,2,ml,,,,0.44,ak,ak021gmtbe7x,2022-01-24T16:20:00.261Z,"37 km ENE of Pedro Bay, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-12-28T07:56:20.288Z,56.0288,-157.5543,3.5,2.2,ml,,,,0.52,ak,ak021gmt1pnw,2022-01-24T16:19:59.989Z,"60 km ESE of Chignik, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2021-12-28T07:42:29.117Z,55.959,-157.397,8.9,2.4,ml,,,,0.58,ak,ak021gmsyqbj,2022-01-24T16:19:59.666Z,"72 km ESE of Chignik, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-12-28T03:27:36.517Z,54.5523,-159.6303,26.9,2.2,ml,,,,0.6,ak,ak021gmqhsqb,2022-01-24T16:19:57.365Z,"103 km SSE of Sand Point, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2021-12-28T02:36:32.143Z,53.5283,-164.7025,35,2.8,ml,,225,0.878,0.45,us,us7000gela,2022-03-05T23:11:14.040Z,"97 km SE of Akutan, Alaska",earthquake,5.1,2,0.105,12,reviewed,us,us
2021-12-28T01:22:31.440Z,50.4458,-176.2212,10,2.8,ml,,286,1.421,0.55,us,us7000gel9,2022-03-05T23:11:14.040Z,"161 km S of Adak, Alaska",earthquake,3.8,2,0.128,8,reviewed,us,us
2021-12-27T23:11:23.737Z,51.321,-179.7971,13.47,2.7,ml,,202,0.568,0.35,us,us6000gfwq,2022-03-05T23:10:49.040Z,"227 km WSW of Adak, Alaska",earthquake,1.9,4.9,0.105,12,reviewed,us,us
2021-12-27T23:01:25.482Z,54.7449,-159.7882,23.42,3,ml,,207,0.143,0.51,us,us7000geqg,2022-03-05T23:11:15.040Z,"80 km SE of Sand Point, Alaska",earthquake,3.3,10.9,0.074,24,reviewed,us,us
2021-12-27T22:54:16.371Z,54.7805,-159.7561,25.3,2.2,ml,,,,0.4,ak,ak021gleffip,2022-01-24T23:25:34.211Z,"78 km SE of Sand Point, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2021-12-27T20:43:55.728Z,51.5296,-177.5574,58,2,ml,,,,0.18,ak,ak021gld68v2,2022-01-24T23:25:32.042Z,"74 km WSW of Adak, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2021-12-27T20:22:24.408Z,56.7103,-155.0705,63.3,2,ml,,,,0.3,ak,ak021gld1qqi,2022-01-24T23:25:31.772Z,"60 km WSW of Akhiok, Alaska",earthquake,,1.8,,,reviewed,ak,ak
