time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-18T16:19:56.880Z,38.833,-122.8111667,2.54,2.07,md,59,39,0.009629,0.06,nc,nc73665316,2021-12-28T08:28:10.666Z,"8km W of Cobb, CA",earthquake,0.14,0.21,0.137,24,reviewed,nc,nc
2021-12-18T11:41:51.260Z,38.542,-119.5208333,5.01,2.17,md,15,83,0.04224,0.08,nc,nc73665191,2021-12-20T17:35:25.484Z,"5km NW of Walker, CA",earthquake,0.24,0.35,0.206,28,reviewed,nc,nc
2021-12-18T09:18:08.570Z,36.6698333,-119.2715,21.88,2.25,md,37,37,0.2002,0.25,nc,nc73665131,2021-12-20T02:22:10.654Z,"6km NE of Orange Cove, CA",earthquake,0.31,0.59,0.196,44,reviewed,nc,nc
2021-12-18T05:46:40.280Z,38.78,-122.754,1.02,2.04,md,59,37,0.01304,0.06,nc,nc73665051,2021-12-28T05:00:10.942Z,"0km NE of The Geysers, CA",earthquake,0.13,0.2,0.186,27,reviewed,nc,nc
2021-12-18T05:17:09.640Z,39.5646667,-120.3198333,3.58,2.02,md,14,117,0.115,0.07,nc,nc73665041,2021-12-20T22:49:27.667Z,"14km SSW of Loyalton, CA",earthquake,0.33,1.28,0.29,19,reviewed,nc,nc
2021-12-18T02:10:37.338Z,38.1494,-118.0574,5.6,2.4,ml,22,47.27,0.076,0.1536,nn,nn00830131,2021-12-20T16:15:09.089Z,"27 km S of Mina, Nevada",earthquake,,1.5,0.14,7,reviewed,nn,nn
2021-12-17T08:03:53.990Z,36.1413333,-119.6875,20.14,2.09,md,31,117,0.305,0.14,nc,nc73664636,2021-12-20T06:03:14.399Z,"12km WNW of Corcoran, CA",earthquake,0.44,0.58,0.181,32,reviewed,nc,nc
2021-12-15T17:10:32.750Z,38.5023333,-119.5406667,2.81,2.06,md,13,73,0.0493,0.04,nc,nc73664106,2021-12-16T23:51:10.697Z,"6km WSW of Walker, CA",earthquake,0.3,0.76,0.306,19,reviewed,nc,nc
2021-12-15T11:27:37.420Z,36.1761667,-118.0058333,1.51,2.25,ml,21,75,0.1355,0.15,ci,ci40128248,2021-12-15T13:43:20.330Z,"12km S of Olancha, CA",earthquake,0.28,0.71,0.182,26,reviewed,ci,ci
2021-12-15T02:16:27.290Z,36.7525,-121.3503333,7.82,2.03,md,37,63,0.07866,0.09,nc,nc73663816,2021-12-16T22:03:13.056Z,"5km SSW of Tres Pinos, CA",earthquake,0.23,0.55,0.192,48,reviewed,nc,nc
2021-12-15T01:56:26.530Z,36.535,-121.1196667,3.56,2.38,md,46,62,0.02026,0.13,nc,nc73663811,2021-12-18T10:20:10.480Z,"2km E of Pinnacles, CA",earthquake,0.23,0.53,0.237,44,reviewed,nc,nc
2021-12-15T00:35:38.570Z,38.8365,-122.8125,2.44,2.61,md,78,23,0.01322,0.07,nc,nc73663731,2022-02-24T21:00:56.040Z,"8km WNW of Cobb, CA",earthquake,0.11,0.15,0.105,58,reviewed,nc,nc
2021-12-14T14:22:48.750Z,36.7261667,-119.2868333,13.03,2.13,md,15,132,0.2167,0.07,nc,nc73663576,2021-12-14T20:58:10.212Z,"4km WSW of Squaw Valley, CA",earthquake,0.22,0.58,0.149,22,reviewed,nc,nc
2021-12-14T00:01:47.790Z,37.8973333,-121.6111667,17.53,2.3,md,36,162,0.07577,0.12,nc,nc73663406,2021-12-17T12:45:11.031Z,"2km SW of Discovery Bay, CA",earthquake,0.37,0.46,0.165,29,reviewed,nc,nc
2021-12-13T22:12:17.540Z,37.4681667,-118.8123333,5.96,2.18,md,22,134,0.1118,0.04,nc,nc73663381,2021-12-14T05:59:53.175Z,"16km SW of Toms Place, CA",earthquake,0.3,1.11,0.234,28,reviewed,nc,nc
2021-12-13T21:48:15.540Z,37.4368333,-122.441,10,2.19,md,36,205,0.01716,0.09,nc,nc73663366,2021-12-15T02:16:10.688Z,"3km SSW of Half Moon Bay, CA",earthquake,0.55,0.21,0.121,29,reviewed,nc,nc
2021-12-13T14:00:35.480Z,36.6846667,-121.3133333,4.34,2.47,md,39,89,0.0482,0.09,nc,nc73663271,2022-08-06T17:35:21.054Z,"12km S of Tres Pinos, CA",earthquake,0.21,0.76,0.21,44,reviewed,nc,nc
2021-12-12T13:43:37.850Z,37.6276667,-118.4168333,5.29,2.13,md,21,107,0.08513,0.04,nc,nc73662926,2021-12-13T18:18:49.207Z,"24km ENE of Toms Place, CA",earthquake,0.33,0.95,0.141,18,reviewed,nc,nc
2021-12-11T20:02:17.310Z,37.189,-119.7763333,21.16,2.08,md,16,61,0.1189,0.15,nc,nc73662741,2021-12-20T08:52:11.635Z,"0km SW of Yosemite Lakes, CA",earthquake,0.31,0.41,0.181,18,reviewed,nc,nc
2021-12-11T06:57:20.090Z,35.7766667,-121.2946667,5.08,2.06,md,46,174,0.1484,0.06,nc,nc73662491,2021-12-14T22:00:11.796Z,"18km NNW of San Simeon, CA",earthquake,0.25,0.62,0.151,39,reviewed,nc,nc
2021-12-10T23:02:26.510Z,36.6838333,-121.3311667,5.4,2.17,md,61,39,,0.2,nc,nc73662336,2021-12-15T21:13:10.407Z,"12km S of Tres Pinos, CA",earthquake,0.22,0.52,0.184,60,reviewed,nc,nc
2021-12-10T22:13:28.170Z,38.5321667,-122.6453333,8.38,2.11,md,75,53,0.09488,0.08,nc,nc73662306,2021-12-15T20:28:11.196Z,"8km SW of Calistoga, CA",earthquake,0.18,0.49,0.144,42,reviewed,nc,nc
2021-12-10T16:17:24.450Z,38.534,-122.6431667,7.29,2.53,md,93,42,0.0961,0.09,nc,nc73662196,2022-02-24T20:59:39.040Z,"7km SW of Calistoga, CA",earthquake,0.17,0.48,0.131,66,reviewed,nc,nc
2021-12-10T03:18:51.030Z,38.5418333,-119.5411667,3.51,2.87,md,18,82,0.04709,0.1,nc,nc73662026,2022-02-24T20:59:33.040Z,"6km WNW of Walker, CA",earthquake,0.23,0.49,0.159,76,reviewed,nc,nc
